"Status","Year","Age","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","60-64","White","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","White","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","Asian","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Asian","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Black","London","15","[c]","[c]","[c]"
"New entrant CS","2022","65+","Black","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2022","65+","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Mixed","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Mixed","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Other ethnicity","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Undeclared","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Undeclared","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2022","65+","Unknown","London","30","[c]","[c]","[c]"
"New entrant CS","2022","65+","Unknown","Outside London","175","[c]","28960","27230"
"New entrant CS","2022","65+","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","White","London","25","[c]","[c]","[c]"
"New entrant CS","2022","65+","White","Outside London","280","[c]","31200","27570"
"New entrant CS","2022","65+","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Asian","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Asian","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Black","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Black","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Mixed","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Mixed","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Other ethnicity","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","White","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","White","Outside London","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
