"Status","Year","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Black","Undeclared","100","[c]","31050","30910"
"New entrant CS","2022","Black","Unknown","80","[c]","32420","30750"
"New entrant CS","2022","Mixed","Heterosexual / straight","1270","[c]","29840","27570"
"New entrant CS","2022","Mixed","LGBO","185","[c]","29050","27380"
"New entrant CS","2022","Mixed","Undeclared","115","[c]","29480","26950"
"New entrant CS","2022","Mixed","Unknown","60","[c]","31600","27570"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","340","[c]","29740","27570"
"New entrant CS","2022","Other ethnicity","LGBO","40","[c]","28830","27250"
"New entrant CS","2022","Other ethnicity","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","265","[c]","29430","27090"
"New entrant CS","2022","Undeclared","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","630","[c]","33200","29360"
"New entrant CS","2022","Undeclared","Unknown","70","[c]","34410","31800"
"New entrant CS","2022","Unknown","Heterosexual / straight","365","[c]","31600","27910"
"New entrant CS","2022","Unknown","LGBO","35","[c]","33720","30210"
"New entrant CS","2022","Unknown","Undeclared","620","[c]","35640","32790"
"New entrant CS","2022","Unknown","Unknown","20585","[c]","28870","26130"
"New entrant CS","2022","White","Heterosexual / straight","30320","[c]","29930","26880"
"New entrant CS","2022","White","LGBO","3745","[c]","28970","26590"
"New entrant CS","2022","White","Undeclared","1675","[c]","30730","27570"
"New entrant CS","2022","White","Unknown","1185","[c]","29890","26590"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
