"Status","Year","Age","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","60-64","Unknown","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Unknown","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Unknown","Unknown","20","[c]","27040","22510"
"New entrant CS","2022","65+","London","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","EO","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","SEO","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","London","Unknown","50","[c]","39180","36580"
"New entrant CS","2022","65+","Outside London","AA","25","[c]","20790","20480"
"New entrant CS","2022","65+","Outside London","AO","85","[c]","21490","21260"
"New entrant CS","2022","65+","Outside London","EO","55","[c]","27370","26580"
"New entrant CS","2022","65+","Outside London","G6","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","Outside London","G7","15","[c]","55800","55880"
"New entrant CS","2022","65+","Outside London","HEO","20","[c]","31490","32000"
"New entrant CS","2022","65+","Outside London","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Outside London","SEO","20","[c]","39500","39660"
"New entrant CS","2022","65+","Outside London","Unknown","250","[c]","29890","28200"
"New entrant CS","2022","65+","Unknown","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","London","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Outside London","AO","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
